nid,changed_date,next_changed_date,field_value_old,field_value_new
53667,2019-01-28 20:30:02,2019-01-30 20:30:02,green,red
53667,2019-01-30 20:30:02,2019-02-15 04:00:02,red,green
53667,2019-02-15 04:00:02,2019-02-16 04:00:02,green,amber
53667,2019-02-16 04:00:02,2019-02-18 09:30:00,amber,green
53667,2019-02-18 09:30:00,2019-02-19 09:30:01,green,amber
53667,2019-02-19 09:30:01,2019-05-10 11:30:09,amber,green
53667,2019-05-10 11:30:09,2019-05-20 08:30:00,green,amber
53667,2019-05-20 08:30:00,2019-05-21 03:00:01,amber,green
53667,2019-05-21 03:00:01,2019-05-21 13:00:00,green,amber
53667,2019-05-21 13:00:00,,amber,green
53668,2019-01-03 17:00:01,,"",green
53669,2019-01-04 17:00:01,2019-01-30 17:00:01,"",green
53669,2019-01-30 17:00:01,2019-01-31 17:00:00,green,amber
53669,2019-01-31 17:00:00,2019-02-04 10:30:01,amber,green
53669,2019-02-04 10:30:01,,green,amber
53670,2019-01-07 17:00:00,2019-01-21 17:00:01,"",green
53670,2019-01-21 17:00:01,2019-02-22 15:30:01,green,amber
53670,2019-02-22 15:30:01,2019-03-21 11:00:01,amber,green
53670,2019-03-21 11:00:01,2019-05-15 08:30:08,green,amber
53670,2019-05-15 08:30:08,,amber,green
53671,2019-01-08 17:00:00,2019-02-05 17:00:09,"",green
53671,2019-02-05 17:00:09,2019-02-23 04:00:01,green,amber
53671,2019-02-23 04:00:01,,amber,red
53672,2019-01-08 17:00:00,2019-02-04 10:30:01,"",green
53672,2019-02-04 10:30:01,,green,amber
53673,2019-01-08 17:00:00,2019-02-14 15:30:00,"",green
53673,2019-02-14 15:30:00,2019-02-23 04:00:01,green,amber
53673,2019-02-23 04:00:01,,amber,red
53674,2019-01-09 20:30:01,,"",green
53675,2019-01-10 04:00:01,2019-01-17 04:00:01,"",green
53675,2019-01-17 04:00:01,2019-01-28 20:30:02,green,amber
53675,2019-01-28 20:30:02,,amber,red
53676,2019-01-10 04:00:01,2019-01-17 04:00:01,"",green
53676,2019-01-17 04:00:01,2019-01-28 20:30:02,green,amber
53676,2019-01-28 20:30:02,,amber,red
53677,2019-01-10 04:00:01,2019-01-17 04:00:01,"",green
53677,2019-01-17 04:00:01,,green,red
53678,2019-01-10 04:00:01,2019-01-17 17:00:01,"",green
53678,2019-01-17 17:00:01,2019-01-23 09:47:43,green,amber
53678,2019-01-23 09:47:43,2019-02-19 04:00:01,amber,green
53678,2019-02-19 04:00:01,2019-02-19 11:00:01,green,amber
53678,2019-02-19 11:00:01,2019-02-21 14:00:01,amber,green
53678,2019-02-21 14:00:01,2019-02-26 15:30:01,green,amber
53678,2019-02-26 15:30:01,2019-02-28 12:30:01,amber,green
53678,2019-02-28 12:30:01,2019-03-13 09:30:01,green,amber
53678,2019-03-13 09:30:01,2019-05-23 11:30:00,amber,green
53678,2019-05-23 11:30:00,,green,amber
53679,2019-01-10 04:00:01,2019-01-10 10:30:00,"",green
53679,2019-01-10 10:30:00,2019-01-10 20:30:01,green,amber
53679,2019-01-10 20:30:01,2019-01-17 04:00:01,amber,green
53679,2019-01-17 04:00:01,,green,red
53680,2019-01-10 17:00:00,2019-01-23 09:47:43,"",green
53680,2019-01-23 09:47:43,2019-02-21 14:00:01,green,amber
53680,2019-02-21 14:00:01,,amber,green
53681,2019-01-10 17:00:00,2019-01-21 17:00:01,"",green
53681,2019-01-21 17:00:01,2019-01-23 09:47:43,green,amber
53681,2019-01-23 09:47:43,2019-01-29 17:00:01,amber,green
53681,2019-01-29 17:00:01,2019-02-07 15:30:01,green,amber
53681,2019-02-07 15:30:01,2019-04-26 08:30:01,amber,green
53681,2019-04-26 08:30:01,,green,amber
53682,2019-01-10 17:00:00,2019-01-21 17:00:01,"",green
53682,2019-01-21 17:00:01,2019-01-23 09:47:43,green,amber
53682,2019-01-23 09:47:43,2019-01-29 17:00:01,amber,green
53682,2019-01-29 17:00:01,2019-02-07 15:30:01,green,amber
53682,2019-02-07 15:30:01,2019-04-05 03:00:01,amber,green
53682,2019-04-05 03:00:01,2019-04-24 13:00:00,green,amber
53682,2019-04-24 13:00:00,2019-04-26 08:30:01,amber,green
53682,2019-04-26 08:30:01,,green,amber
53683,2019-01-10 20:30:01,2019-04-25 10:00:00,"",green
53683,2019-04-25 10:00:00,2019-05-15 14:30:06,green,amber
53683,2019-05-15 14:30:06,,amber,green
53684,2019-01-10 20:30:01,2019-04-25 03:00:02,"",green
53684,2019-04-25 03:00:02,2019-04-29 13:00:01,green,amber
53684,2019-04-29 13:00:01,2019-05-13 08:30:11,amber,green
53684,2019-05-13 08:30:11,2019-05-16 13:00:08,green,amber
53684,2019-05-16 13:00:08,,amber,green
53685,2019-01-10 20:30:01,2019-03-15 11:00:00,"",green
53685,2019-03-15 11:00:00,2019-03-22 04:00:01,green,amber
53685,2019-03-22 04:00:01,2019-04-25 08:30:01,amber,green
53685,2019-04-25 08:30:01,2019-04-30 03:00:03,green,amber
53685,2019-04-30 03:00:03,,amber,green
53686,2019-01-10 20:30:01,2019-01-21 17:00:01,"",green
53686,2019-01-21 17:00:01,2019-01-23 10:30:01,green,amber
53686,2019-01-23 10:30:01,2019-03-15 11:00:00,amber,green
53686,2019-03-15 11:00:00,2019-03-22 04:00:01,green,amber
53686,2019-03-22 04:00:01,2019-04-25 13:00:01,amber,green
53686,2019-04-25 13:00:01,2019-05-02 14:30:01,green,amber
53686,2019-05-02 14:30:01,2019-05-24 03:00:01,amber,green
53686,2019-05-24 03:00:01,,green,amber
53687,2019-01-10 20:30:01,2019-03-15 11:00:00,"",green
53687,2019-03-15 11:00:00,2019-03-22 04:00:01,green,amber
53687,2019-03-22 04:00:01,2019-04-26 03:00:04,amber,green
53687,2019-04-26 03:00:04,2019-05-21 13:00:00,green,amber
53687,2019-05-21 13:00:00,,amber,green
53688,2019-01-10 20:30:01,2019-01-21 10:30:02,"",green
53688,2019-01-21 10:30:02,2019-01-23 09:47:43,green,amber
53688,2019-01-23 09:47:43,2019-01-24 17:00:01,amber,green
53688,2019-01-24 17:00:01,2019-02-04 17:00:01,green,amber
53688,2019-02-04 17:00:01,2019-02-04 20:30:02,amber,green
53688,2019-02-04 20:30:02,2019-03-06 09:30:01,green,amber
53688,2019-03-06 09:30:01,2019-03-15 11:00:00,amber,green
53688,2019-03-15 11:00:00,2019-03-22 04:00:01,green,amber
53688,2019-03-22 04:00:01,2019-04-25 10:00:00,amber,green
53688,2019-04-25 10:00:00,2019-05-02 14:30:01,green,amber
53688,2019-05-02 14:30:01,,amber,green
53689,2019-01-10 20:30:01,2019-03-15 11:00:00,"",green
53689,2019-03-15 11:00:00,2019-03-22 04:00:01,green,amber
53689,2019-03-22 04:00:01,2019-05-02 13:00:00,amber,green
53689,2019-05-02 13:00:00,2019-05-06 10:00:06,green,amber
53689,2019-05-06 10:00:06,,amber,green
53690,2019-01-10 20:30:01,2019-04-25 08:30:01,"",green
53690,2019-04-25 08:30:01,2019-05-16 13:00:08,green,amber
53690,2019-05-16 13:00:08,,amber,green
53691,2019-01-10 20:30:01,2019-01-21 10:30:02,"",green
53691,2019-01-21 10:30:02,2019-01-23 17:00:01,green,amber
53691,2019-01-23 17:00:01,2019-03-15 11:00:00,amber,green
53691,2019-03-15 11:00:00,2019-04-29 13:00:01,green,amber
53691,2019-04-29 13:00:01,,amber,green
53692,2019-01-10 20:30:01,2019-01-21 10:30:02,"",green
53692,2019-01-21 10:30:02,2019-01-25 10:30:01,green,amber
53692,2019-01-25 10:30:01,2019-05-22 13:00:00,amber,green
53692,2019-05-22 13:00:00,,green,amber
53693,2019-01-10 20:30:01,2019-03-15 11:00:00,"",green
53693,2019-03-15 11:00:00,2019-03-22 04:00:01,green,amber
53693,2019-03-22 04:00:01,2019-04-03 08:30:01,amber,green
53693,2019-04-03 08:30:01,2019-04-11 13:00:01,green,amber
53693,2019-04-11 13:00:01,2019-04-12 03:00:01,amber,green
53693,2019-04-12 03:00:01,,green,red
53694,2019-01-11 17:00:00,,"",green
53695,2019-01-11 17:00:00,2019-01-24 17:00:01,"",green
53695,2019-01-24 17:00:01,2019-01-31 17:00:00,green,amber
53695,2019-01-31 17:00:00,2019-02-13 14:00:01,amber,red
53695,2019-02-13 14:00:01,2019-02-14 04:00:02,red,amber
53695,2019-02-14 04:00:02,2019-02-25 11:00:01,amber,green
53695,2019-02-25 11:00:01,2019-03-08 09:30:01,green,amber
53695,2019-03-08 09:30:01,2019-04-29 11:30:06,amber,green
53695,2019-04-29 11:30:06,,green,amber
53696,2019-01-14 04:00:01,2019-01-14 17:00:01,"",green
53696,2019-01-14 17:00:01,2019-01-23 17:00:01,green,amber
53696,2019-01-23 17:00:01,,amber,green
53697,2019-01-14 17:00:01,2019-04-23 13:00:01,"",green
53697,2019-04-23 13:00:01,2019-05-30 03:00:01,green,amber
53697,2019-05-30 03:00:01,2019-06-17 10:00:01,amber,green
53697,2019-06-17 10:00:01,,green,amber
53698,2019-01-14 17:00:01,2019-01-21 17:00:01,"",green
53698,2019-01-21 17:00:01,2019-01-23 17:00:01,green,amber
53698,2019-01-23 17:00:01,2019-02-18 14:00:01,amber,green
53698,2019-02-18 14:00:01,2019-03-05 11:00:01,green,amber
53698,2019-03-05 11:00:01,,amber,red
53699,2019-01-14 17:00:01,2019-01-21 17:00:01,"",green
53699,2019-01-21 17:00:01,2019-01-23 09:47:43,green,amber
53699,2019-01-23 09:47:43,2019-03-15 14:00:00,amber,green
53699,2019-03-15 14:00:00,,green,amber
53700,2019-01-15 04:00:01,2019-03-14 09:30:01,"",green
53700,2019-03-14 09:30:01,2019-03-14 14:00:00,green,amber
53700,2019-03-14 14:00:00,,amber,red
53701,2019-01-17 17:00:01,2019-03-15 11:00:00,"",green
53701,2019-03-15 11:00:00,2019-03-22 04:00:01,green,amber
53701,2019-03-22 04:00:01,,amber,green
53702,2019-01-17 20:30:01,2019-02-05 17:00:09,"",green
53702,2019-02-05 17:00:09,2019-02-07 15:30:01,green,amber
53702,2019-02-07 15:30:01,2019-03-01 15:30:00,amber,green
53702,2019-03-01 15:30:00,,green,amber
53703,2019-01-17 20:30:01,2019-02-04 17:00:01,"",green
53703,2019-02-04 17:00:01,2019-02-18 15:30:01,green,amber
53703,2019-02-18 15:30:01,2019-04-15 11:30:01,amber,red
53703,2019-04-15 11:30:01,,red,green
53704,2019-01-17 20:30:01,2019-04-10 03:00:01,"",green
53704,2019-04-10 03:00:01,2019-04-17 07:00:01,green,amber
53704,2019-04-17 07:00:01,,amber,green
53705,2019-01-17 20:30:01,2019-01-29 17:00:01,"",green
53705,2019-01-29 17:00:01,2019-02-16 04:00:02,green,amber
53705,2019-02-16 04:00:02,2019-02-19 14:00:01,amber,green
53705,2019-02-19 14:00:01,2019-03-15 09:30:00,green,amber
53705,2019-03-15 09:30:00,2019-06-07 10:00:14,amber,green
53705,2019-06-07 10:00:14,,green,amber
53706,2019-01-18 04:00:03,2019-01-23 09:47:43,"",green
53706,2019-01-23 09:47:43,2019-01-25 20:30:01,green,amber
53706,2019-01-25 20:30:01,2019-04-12 11:30:07,amber,red
53706,2019-04-12 11:30:07,2019-04-29 10:00:01,red,green
53706,2019-04-29 10:00:01,2019-05-01 13:00:00,green,amber
53706,2019-05-01 13:00:00,,amber,green
53707,2019-01-18 04:00:03,2019-01-23 09:47:43,"",green
53707,2019-01-23 09:47:43,2019-01-25 20:30:01,green,amber
53707,2019-01-25 20:30:01,,amber,red
53708,2019-01-18 04:00:03,2019-01-23 09:47:43,"",green
53708,2019-01-23 09:47:43,2019-01-31 17:00:00,green,amber
53708,2019-01-31 17:00:00,2019-01-31 20:30:01,amber,green
53708,2019-01-31 20:30:01,2019-02-04 04:00:02,green,amber
53708,2019-02-04 04:00:02,2019-02-15 14:00:00,amber,green
53708,2019-02-15 14:00:00,2019-02-27 04:00:01,green,amber
53708,2019-02-27 04:00:01,2019-03-07 15:30:01,amber,green
53708,2019-03-07 15:30:01,2019-04-03 14:30:00,green,amber
53708,2019-04-03 14:30:00,2019-04-24 08:30:01,amber,green
53708,2019-04-24 08:30:01,2019-05-03 11:30:00,green,amber
53708,2019-05-03 11:30:00,,amber,green
53709,2019-01-18 04:00:03,2019-01-23 09:47:43,"",green
53709,2019-01-23 09:47:43,2019-01-25 20:30:01,green,amber
53709,2019-01-25 20:30:01,2019-04-12 11:30:07,amber,red
53709,2019-04-12 11:30:07,,red,green
53710,2019-01-18 04:00:03,2019-01-23 09:47:43,"",green
53710,2019-01-23 09:47:43,2019-01-25 20:30:01,green,amber
53710,2019-01-25 20:30:01,2019-04-12 11:30:07,amber,red
53710,2019-04-12 11:30:07,,red,green
53711,2019-01-18 04:00:03,2019-01-23 09:47:43,"",green
53711,2019-01-23 09:47:43,2019-01-25 20:30:01,green,amber
53711,2019-01-25 20:30:01,2019-04-12 11:30:07,amber,red
53711,2019-04-12 11:30:07,,red,green
53712,2019-01-18 04:00:03,2019-01-23 09:47:43,"",green
53712,2019-01-23 09:47:43,2019-01-25 20:30:01,green,amber
53712,2019-01-25 20:30:01,2019-04-12 11:30:07,amber,red
53712,2019-04-12 11:30:07,2019-04-29 08:30:01,red,green
53712,2019-04-29 08:30:01,2019-04-29 10:00:01,green,amber
53712,2019-04-29 10:00:01,,amber,green
53713,2019-01-18 04:00:03,2019-01-23 09:47:43,"",green
53713,2019-01-23 09:47:43,2019-01-25 20:30:01,green,amber
53713,2019-01-25 20:30:01,2019-04-12 11:30:07,amber,red
53713,2019-04-12 11:30:07,2019-04-29 08:30:01,red,green
53713,2019-04-29 08:30:01,2019-04-29 10:00:01,green,amber
53713,2019-04-29 10:00:01,,amber,green
53714,2019-01-18 04:00:03,2019-01-23 09:47:43,"",green
53714,2019-01-23 09:47:43,2019-01-25 20:30:01,green,amber
53714,2019-01-25 20:30:01,2019-04-12 11:30:07,amber,red
53714,2019-04-12 11:30:07,,red,green
53715,2019-01-18 04:00:03,2019-01-23 09:47:43,"",green
53715,2019-01-23 09:47:43,2019-01-25 20:30:01,green,amber
53715,2019-01-25 20:30:01,2019-04-12 11:30:07,amber,red
53715,2019-04-12 11:30:07,2019-04-29 08:30:01,red,green
53715,2019-04-29 08:30:01,2019-04-29 10:00:01,green,amber
53715,2019-04-29 10:00:01,,amber,green
53716,2019-01-18 04:00:03,2019-01-23 09:47:43,"",green
53716,2019-01-23 09:47:43,2019-01-25 20:30:01,green,amber
53716,2019-01-25 20:30:01,2019-04-12 11:30:07,amber,red
53716,2019-04-12 11:30:07,2019-04-29 10:00:01,red,green
53716,2019-04-29 10:00:01,2019-05-01 13:00:00,green,amber
53716,2019-05-01 13:00:00,,amber,green
53717,2019-01-18 04:00:03,2019-01-23 09:47:43,"",green
53717,2019-01-23 09:47:43,2019-01-31 17:00:00,green,amber
53717,2019-01-31 17:00:00,2019-01-31 20:30:01,amber,green
53717,2019-01-31 20:30:01,2019-02-04 04:00:02,green,amber
53717,2019-02-04 04:00:02,2019-02-15 14:00:00,amber,green
53717,2019-02-15 14:00:00,2019-02-27 04:00:01,green,amber
53717,2019-02-27 04:00:01,2019-03-07 15:30:01,amber,green
53717,2019-03-07 15:30:01,2019-04-03 14:30:00,green,amber
53717,2019-04-03 14:30:00,,amber,green
53718,2019-01-19 04:00:01,2019-01-30 17:00:01,"",green
53718,2019-01-30 17:00:01,2019-02-08 14:00:01,green,amber
53718,2019-02-08 14:00:01,,amber,red
53719,2019-01-21 17:00:01,2019-01-30 10:30:01,"",green
53719,2019-01-30 10:30:01,2019-02-01 17:00:01,green,amber
53719,2019-02-01 17:00:01,,amber,green
53720,2019-01-21 17:00:01,2019-01-30 10:30:01,"",green
53720,2019-01-30 10:30:01,2019-02-01 10:30:01,green,amber
53720,2019-02-01 10:30:01,2019-03-13 11:00:03,amber,green
53720,2019-03-13 11:00:03,2019-03-15 11:00:00,green,amber
53720,2019-03-15 11:00:00,2019-03-27 11:00:00,amber,green
53720,2019-03-27 11:00:00,,green,red
53721,2019-01-21 17:00:01,2019-01-30 10:30:01,"",green
53721,2019-01-30 10:30:01,2019-02-06 09:30:00,green,amber
53721,2019-02-06 09:30:00,2019-04-27 07:00:01,amber,green
53721,2019-04-27 07:00:01,2019-05-02 10:00:01,green,amber
53721,2019-05-02 10:00:01,2019-05-07 10:00:09,amber,green
53721,2019-05-07 10:00:09,,green,amber
53722,2019-01-21 17:00:01,2019-02-04 17:00:01,"",green
53722,2019-02-04 17:00:01,2019-04-11 14:30:01,green,amber
53722,2019-04-11 14:30:01,,amber,green
53723,2019-01-21 17:00:01,2019-02-04 17:00:01,"",green
53723,2019-02-04 17:00:01,2019-02-05 10:30:02,green,amber
53723,2019-02-05 10:30:02,2019-03-13 11:00:03,amber,green
53723,2019-03-13 11:00:03,2019-03-15 11:00:00,green,amber
53723,2019-03-15 11:00:00,,amber,green
53724,2019-01-21 17:00:01,2019-02-04 17:00:01,"",green
53724,2019-02-04 17:00:01,2019-02-05 10:30:02,green,amber
53724,2019-02-05 10:30:02,2019-03-13 11:00:03,amber,green
53724,2019-03-13 11:00:03,2019-03-15 09:30:00,green,amber
53724,2019-03-15 09:30:00,2019-04-12 03:00:01,amber,green
53724,2019-04-12 03:00:01,2019-05-22 11:30:01,green,amber
53724,2019-05-22 11:30:01,,amber,green
53725,2019-01-21 17:00:01,2019-01-30 10:30:01,"",green
53725,2019-01-30 10:30:01,2019-02-01 10:30:01,green,amber
53725,2019-02-01 10:30:01,2019-03-13 11:00:03,amber,green
53725,2019-03-13 11:00:03,2019-03-15 11:00:00,green,amber
53725,2019-03-15 11:00:00,2019-04-01 07:00:01,amber,green
53725,2019-04-01 07:00:01,2019-05-09 13:01:21,green,amber
53725,2019-05-09 13:01:21,,amber,red
53726,2019-01-21 17:00:01,2019-01-30 10:30:01,"",green
53726,2019-01-30 10:30:01,2019-02-01 17:00:01,green,amber
53726,2019-02-01 17:00:01,,amber,green
53727,2019-01-21 17:00:01,2019-01-30 10:30:01,"",green
53727,2019-01-30 10:30:01,2019-02-01 10:30:01,green,amber
53727,2019-02-01 10:30:01,2019-03-13 11:00:03,amber,green
53727,2019-03-13 11:00:03,2019-03-15 11:00:00,green,amber
53727,2019-03-15 11:00:00,,amber,green
53728,2019-01-21 17:00:01,2019-01-30 10:30:01,"",green
53728,2019-01-30 10:30:01,2019-02-01 10:30:01,green,amber
53728,2019-02-01 10:30:01,2019-03-13 11:00:03,amber,green
53728,2019-03-13 11:00:03,2019-03-15 11:00:00,green,amber
53728,2019-03-15 11:00:00,2019-03-26 14:00:01,amber,green
53728,2019-03-26 14:00:01,2019-03-27 12:30:00,green,amber
53728,2019-03-27 12:30:00,,amber,green
53729,2019-01-21 17:00:01,2019-01-23 09:47:43,"",green
53729,2019-01-23 09:47:43,2019-01-24 10:30:01,green,amber
53729,2019-01-24 10:30:01,2019-01-30 10:30:01,amber,green
53729,2019-01-30 10:30:01,2019-02-01 10:30:01,green,amber
53729,2019-02-01 10:30:01,2019-03-13 11:00:03,amber,green
53729,2019-03-13 11:00:03,2019-03-15 11:00:00,green,amber
53729,2019-03-15 11:00:00,,amber,green
53730,2019-01-21 17:00:01,2019-02-04 17:00:01,"",green
53730,2019-02-04 17:00:01,2019-02-05 10:30:02,green,amber
53730,2019-02-05 10:30:02,2019-03-13 11:00:03,amber,green
53730,2019-03-13 11:00:03,2019-03-14 12:30:01,green,amber
53730,2019-03-14 12:30:01,,amber,green
53731,2019-01-21 17:00:01,2019-01-30 10:30:01,"",green
53731,2019-01-30 10:30:01,2019-02-01 17:00:01,green,amber
53731,2019-02-01 17:00:01,,amber,green
53732,2019-01-21 17:00:01,2019-03-13 11:00:03,"",green
53732,2019-03-13 11:00:03,2019-03-15 11:00:00,green,amber
53732,2019-03-15 11:00:00,2019-04-04 11:30:00,amber,green
53732,2019-04-04 11:30:00,,green,amber
53733,2019-01-21 17:00:01,2019-01-30 10:30:01,"",green
53733,2019-01-30 10:30:01,2019-02-05 10:30:02,green,amber
53733,2019-02-05 10:30:02,2019-03-13 11:00:03,amber,green
53733,2019-03-13 11:00:03,2019-03-15 09:30:00,green,amber
53733,2019-03-15 09:30:00,,amber,green
53734,2019-01-21 17:00:01,2019-01-30 10:30:01,"",green
53734,2019-01-30 10:30:01,2019-02-01 10:30:01,green,amber
53734,2019-02-01 10:30:01,2019-03-13 11:00:03,amber,green
